Date;Epidemiological Week;State;City;City Ibge Code;Is Last;Is Repeated;Last Available Date;Place Type;Estimated Population;Estimated Population 2019;Last Available Confirmed;Last Available Confirmed Per 100K Inhabitants;Last Available Death Rate;Last Available Deaths;New Confirmed;New Deaths;Order For Place
25/09/2021;202138;AC;TarauacÃ¡;1200609;False;False;25/09/2021;city;43151;42567;6589;15269,63454;0,0071;47;0;0;512
25/09/2021;202138;AC;Xapuri;1200708;False;False;25/09/2021;city;19596;19323;3031;15467,44234;0,0102;31;0;0;515
25/09/2021;202138;AC;;12;False;False;25/09/2021;state;894470;881935;87938;9831,29675;0,0209;1836;1;0;558
26/09/2021;202139;AC;AcrelÃ¢ndia;1200013;False;False;26/09/2021;city;15490;15256;1796;11594,57715;0,0206;37;0;0;547
26/09/2021;202139;AC;Assis Brasil;1200054;False;False;26/09/2021;city;7534;7417;1829;24276,61269;0,0131;24;0;0;514
26/09/2021;202139;AC;BrasilÃ©ia;1200104;False;False;26/09/2021;city;26702;26278;2998;11227,6234;0,0143;43;0;0;506
26/09/2021;202139;AC;Bujari;1200138;False;False;26/09/2021;city;10420;10266;1139;10930,90211;0,0149;17;0;0;537
26/09/2021;202139;AC;Capixaba;1200179;False;False;26/09/2021;city;12008;11733;675;5621,2525;0,0252;17;0;0;507
26/09/2021;202139;AC;Cruzeiro do Sul;1200203;False;False;26/09/2021;city;89072;88376;7900;8869,22939;0,0211;167;0;0;532
26/09/2021;202139;AC;EpitaciolÃ¢ndia;1200252;False;False;26/09/2021;city;18696;18411;1582;8461,70304;0,0228;36;0;0;508
26/09/2021;202139;AC;FeijÃ³;1200302;False;False;26/09/2021;city;34884;34780;3338;9568,85678;0,0189;63;0;0;513
26/09/2021;202139;AC;JordÃ£o;1200328;False;False;26/09/2021;city;8473;8317;706;8332,34982;0,0028;2;0;0;497
26/09/2021;202139;AC;Manoel Urbano;1200344;False;False;26/09/2021;city;9581;9459;907;9466,65275;0,0154;14;0;0;502
26/09/2021;202139;AC;Marechal Thaumaturgo;1200351;False;False;26/09/2021;city;19299;18867;1358;7036,63402;0,0088;12;0;0;503
26/09/2021;202139;AC;MÃ¢ncio Lima;1200336;False;False;26/09/2021;city;19311;18977;2994;15504,11682;0,0107;32;0;0;516
26/09/2021;202139;AC;PlÃ¡cido de Castro;1200385;False;False;26/09/2021;city;19955;19761;1788;8960,16036;0,0112;20;0;0;539
